1.0,0.01,0.0,0.0
1.1,0.01,0.0,0.0
1.2,0.01,0.0,0.0
1.3,0.01,0.0,0.0
1.4,0.01,0.0,0.0
1.5,0.01,0.0,0.0
1.6,0.01,0.0,0.0
1.7,0.01,0.0,0.0
1.8,0.01,0.0,0.0
1.9,0.01,0.0,0.0
--
1.0,0.0,0.01,0.0
1.1,0.0,0.01,0.0
1.2,0.0,0.01,0.0
1.3,0.0,0.01,0.0
1.4,0.0,0.01,0.0
1.5,0.0,0.01,0.0
1.6,0.0,0.01,0.0
1.7,0.0,0.01,0.0
1.8,0.0,0.01,0.0
1.9,0.0,0.01,0.0
--
1.0,0.0,0.0,0.01
1.1,0.0,0.0,0.01
1.2,0.0,0.0,0.01
1.3,0.0,0.0,0.01
1.4,0.0,0.0,0.01
1.5,0.0,0.0,0.01
1.6,0.0,0.0,0.01
1.7,0.0,0.0,0.01
1.8,0.0,0.0,0.01
1.9,0.0,0.0,0.01
--
